week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
6.0,2976212.0,Stefon Diggs,4.0,25.8,3.0,2.0,17.2,6.0,ITTO,Team Ittounas,WR,WR
2.0,2977187.0,Cooper Kupp,4.0,26.3,3.0,14.0,16.7,6.0,ITTO,Team Ittounas,WR,WR
2.0,3915416.0,DJ Moore,4.0,11.8,3.0,29.0,11.7,6.0,ITTO,Team Ittounas,WR,WR
3.0,2977187.0,Cooper Kupp,4.0,14.4,3.0,14.0,17.7,6.0,ITTO,Team Ittounas,WR,WR
3.0,2976212.0,Stefon Diggs,4.0,10.9,3.0,2.0,15.4,6.0,ITTO,Team Ittounas,WR,WR
1.0,2977187.0,Cooper Kupp,4.0,25.3,3.0,14.0,16.0,6.0,ITTO,Team Ittounas,WR,WR
1.0,2976212.0,Stefon Diggs,4.0,22.2,3.0,2.0,13.6,6.0,ITTO,Team Ittounas,WR,WR
10.0,2976212.0,Stefon Diggs,4.0,18.8,3.0,2.0,16.7,6.0,ITTO,Team Ittounas,WR,WR
10.0,3915416.0,DJ Moore,4.0,4.9,3.0,29.0,11.1,6.0,ITTO,Team Ittounas,WR,WR
8.0,2977187.0,Cooper Kupp,4.0,18.9,3.0,14.0,16.0,6.0,ITTO,Team Ittounas,WR,WR
8.0,2976212.0,Stefon Diggs,4.0,19.8,3.0,2.0,15.3,6.0,ITTO,Team Ittounas,WR,WR
9.0,2977187.0,Cooper Kupp,4.0,22.8,3.0,14.0,16.6,6.0,ITTO,Team Ittounas,WR,WR
9.0,2976212.0,Stefon Diggs,4.0,11.8,3.0,2.0,16.4,6.0,ITTO,Team Ittounas,WR,WR
4.0,16800.0,Davante Adams,4.0,15.0,3.0,13.0,13.9,7.0,THIC,Kittle's Coming Home!,WR,WR
4.0,4241478.0,DeVonta Smith,4.0,3.2,3.0,21.0,11.4,7.0,THIC,Kittle's Coming Home!,WR,WR
5.0,16800.0,Davante Adams,4.0,25.9,3.0,13.0,16.4,7.0,THIC,Kittle's Coming Home!,WR,WR
5.0,4241478.0,DeVonta Smith,4.0,13.7,3.0,21.0,10.5,7.0,THIC,Kittle's Coming Home!,WR,WR
7.0,16800.0,Davante Adams,4.0,13.5,3.0,13.0,14.9,7.0,THIC,Kittle's Coming Home!,WR,WR
7.0,3128390.0,Allen Lazard,4.0,8.5,3.0,9.0,10.4,7.0,THIC,Kittle's Coming Home!,WR,WR
6.0,3128390.0,Allen Lazard,4.0,15.6,3.0,9.0,10.1,7.0,THIC,Kittle's Coming Home!,WR,WR
6.0,4241478.0,DeVonta Smith,4.0,12.9,3.0,21.0,10.1,7.0,THIC,Kittle's Coming Home!,WR,WR
2.0,16800.0,Davante Adams,4.0,8.2,3.0,13.0,15.5,7.0,THIC,Kittle's Coming Home!,WR,WR
2.0,3120348.0,JuJu Smith-Schuster,4.0,2.5,3.0,12.0,10.8,7.0,THIC,Kittle's Coming Home!,WR,WR
3.0,16800.0,Davante Adams,4.0,11.7,3.0,13.0,16.1,7.0,THIC,Kittle's Coming Home!,WR,WR
3.0,3128390.0,Allen Lazard,4.0,12.5,3.0,9.0,9.0,7.0,THIC,Kittle's Coming Home!,WR,WR
1.0,16800.0,Davante Adams,4.0,25.1,3.0,13.0,13.9,7.0,THIC,Kittle's Coming Home!,WR,WR
1.0,15818.0,Keenan Allen,4.0,8.6,3.0,24.0,11.3,7.0,THIC,Kittle's Coming Home!,WR,WR
10.0,16800.0,Davante Adams,4.0,23.1,3.0,13.0,14.3,7.0,THIC,Kittle's Coming Home!,WR,WR
10.0,3120348.0,JuJu Smith-Schuster,4.0,4.3,3.0,12.0,11.6,7.0,THIC,Kittle's Coming Home!,WR,WR
8.0,16800.0,Davante Adams,4.0,0.7,3.0,13.0,15.7,7.0,THIC,Kittle's Coming Home!,WR,WR
8.0,4241478.0,DeVonta Smith,4.0,4.8,3.0,21.0,10.2,7.0,THIC,Kittle's Coming Home!,WR,WR
